Date,btc_closing_price,btc_volume,eth_closing_price,eth_volume,usdt_closing_price,usdt_volume,xrp_closing_price,xrp_volume,bnb_closing_price,bnb_volume,sol_closing_price,sol_volume,usdc_closing_price,usdc_volume,doge_closing_price,doge_volume,ada_closing_price,ada_volume,trx_closing_price,trx_volume
17/09/2014,457.3340149,21056800.0,,,,,,,,,,,,,,,,,,
18/09/2014,424.4400024,34483200.0,,,,,,,,,,,,,,,,,,
19/09/2014,394.79599,37919700.0,,,,,,,,,,,,,,,,,,
20/09/2014,408.9039917,36863600.0,,,,,,,,,,,,,,,,,,
21/09/2014,398.8210144,26580100.0,,,,,,,,,,,,,,,,,,
22/09/2014,402.1520081,24127600.0,,,,,,,,,,,,,,,,,,
23/09/2014,435.7909851,45099500.0,,,,,,,,,,,,,,,,,,
24/09/2014,423.2049866,30627700.0,,,,,,,,,,,,,,,,,,
25/09/2014,411.5740051,26814400.0,,,,,,,,,,,,,,,,,,
26/09/2014,404.4249878,21460800.0,,,,,,,,,,,,,,,,,,
27/09/2014,399.519989,15029300.0,,,,,,,,,,,,,,,,,,
28/09/2014,377.1809998,23613300.0,,,,,,,,,,,,,,,,,,
29/09/2014,375.4670105,32497700.0,,,,,,,,,,,,,,,,,,
30/09/2014,386.9440002,34707300.0,,,,,,,,,,,,,,,,,,
01/10/2014,383.6149902,26229400.0,,,,,,,,,,,,,,,,,,
02/10/2014,375.071991,21777700.0,,,,,,,,,,,,,,,,,,
03/10/2014,359.5119934,30901200.0,,,,,,,,,,,,,,,,,,
04/10/2014,328.8659973,47236500.0,,,,,,,,,,,,,,,,,,
05/10/2014,320.5100098,83308096.0,,,,,,,,,,,,,,,,,,
06/10/2014,330.07901,79011800.0,,,,,,,,,,,,,,,,,,
07/10/2014,336.1870117,49199900.0,,,,,,,,,,,,,,,,,,
08/10/2014,352.9400024,54736300.0,,,,,,,,,,,,,,,,,,
09/10/2014,365.026001,83641104.0,,,,,,,,,,,,,,,,,,
10/10/2014,361.5620117,43665700.0,,,,,,,,,,,,,,,,,,
11/10/2014,362.2990112,13345200.0,,,,,,,,,,,,,,,,,,
12/10/2014,378.5490112,17552800.0,,,,,,,,,,,,,,,,,,
13/10/2014,390.4140015,35221400.0,,,,,,,,,,,,,,,,,,
14/10/2014,400.8699951,38491500.0,,,,,,,,,,,,,,,,,,
15/10/2014,394.7730103,25267100.0,,,,,,,,,,,,,,,,,,
16/10/2014,382.5559998,26990000.0,,,,,,,,,,,,,,,,,,
17/10/2014,383.7579956,13600700.0,,,,,,,,,,,,,,,,,,
18/10/2014,391.4419861,11416800.0,,,,,,,,,,,,,,,,,,
19/10/2014,389.54599,5914570.0,,,,,,,,,,,,,,,,,,
20/10/2014,382.8450012,16419000.0,,,,,,,,,,,,,,,,,,
21/10/2014,386.4750061,14188900.0,,,,,,,,,,,,,,,,,,
22/10/2014,383.1579895,11641300.0,,,,,,,,,,,,,,,,,,
23/10/2014,358.4169922,26456900.0,,,,,,,,,,,,,,,,,,
24/10/2014,358.3450012,15585700.0,,,,,,,,,,,,,,,,,,
25/10/2014,347.2709961,18127500.0,,,,,,,,,,,,,,,,,,
26/10/2014,354.70401,11272500.0,,,,,,,,,,,,,,,,,,
27/10/2014,352.9890137,13033000.0,,,,,,,,,,,,,,,,,,
28/10/2014,357.6180115,7845880.0,,,,,,,,,,,,,,,,,,
29/10/2014,335.5910034,18192700.0,,,,,,,,,,,,,,,,,,
30/10/2014,345.3049927,30177900.0,,,,,,,,,,,,,,,,,,
31/10/2014,338.3210144,12545400.0,,,,,,,,,,,,,,,,,,
01/11/2014,325.7489929,16677200.0,,,,,,,,,,,,,,,,,,
02/11/2014,325.8919983,8603620.0,,,,,,,,,,,,,,,,,,
03/11/2014,327.5539856,12948500.0,,,,,,,,,,,,,,,,,,
04/11/2014,330.4920044,15655500.0,,,,,,,,,,,,,,,,,,
05/11/2014,339.4859924,19817200.0,,,,,,,,,,,,,,,,,,
06/11/2014,349.2900085,18797000.0,,,,,,,,,,,,,,,,,,
07/11/2014,342.4150085,16834200.0,,,,,,,,,,,,,,,,,,
08/11/2014,345.4880066,8535470.0,,,,,,,,,,,,,,,,,,
09/11/2014,363.2640076,24205600.0,,,,,,,,,,,,,,,,,,
10/11/2014,366.9240112,30450100.0,,,,,,,,,,,,,,,,,,
11/11/2014,367.6950073,15838900.0,,,,,,,,,,,,,,,,,,
12/11/2014,423.5610046,45783200.0,,,,,,,,,,,,,,,,,,
13/11/2014,420.7349854,58945000.0,,,,,,,,,,,,,,,,,,
14/11/2014,397.8179932,29589200.0,,,,,,,,,,,,,,,,,,
15/11/2014,376.1329956,15727500.0,,,,,,,,,,,,,,,,,,
16/11/2014,387.8819885,11905600.0,,,,,,,,,,,,,,,,,,
17/11/2014,387.4079895,41518800.0,,,,,,,,,,,,,,,,,,
18/11/2014,375.197998,32222500.0,,,,,,,,,,,,,,,,,,
19/11/2014,380.5549927,18931800.0,,,,,,,,,,,,,,,,,,
20/11/2014,357.8399963,25233200.0,,,,,,,,,,,,,,,,,,
21/11/2014,350.8479919,29850100.0,,,,,,,,,,,,,,,,,,
22/11/2014,352.9200134,15273000.0,,,,,,,,,,,,,,,,,,
23/11/2014,367.572998,15151600.0,,,,,,,,,,,,,,,,,,
24/11/2014,376.901001,30930100.0,,,,,,,,,,,,,,,,,,
